piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1272/2,2,6,4,2023-10-01,2024-01-01,4,2023-10-01,-1.351702239930661,-4.8016672757892636,4.8016672757892636,-1.2004168189473159,2024-02-01,4,True
II/1272/2,2,12,1,2016-05-01,2016-11-01,7,2016-10-01,-1.351702239930661,-8.677417510271098,8.677417510271098,-1.2396310728958713,2017-02-01,4,True
II/1272/2,2,12,2,2020-04-01,2020-04-01,1,2020-04-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,2024-04-01,48,True
II/1272/2,2,12,3,2021-01-01,2021-03-01,3,2021-01-01,-1.0491313979639707,-3.147394193891912,3.147394193891912,-1.0491313979639707,2024-04-01,39,True
II/1272/2,2,12,4,2021-12-01,2023-12-01,25,2021-12-01,-1.88950996033343,-38.112126755343304,38.112126755343304,-1.5244850702137323,2024-04-01,28,True
II/1273/1,1,3,1,2004-11-01,2004-12-01,2,2004-12-01,-1.0853249080767589,-2.13445630604073,2.13445630604073,-1.067228153020365,2005-04-01,4,True
II/1273/1,1,3,2,2009-02-01,2009-06-01,5,2009-02-01,-1.4395314709384563,-7.142969570627697,7.142969570627697,-1.4285939141255395,2009-07-01,5,True
II/1273/1,1,3,3,2015-05-01,2015-05-01,1,2015-05-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,2016-11-01,18,True
II/1273/1,1,3,4,2015-10-01,2015-11-01,2,2015-11-01,-1.351702239930661,-2.4008336378946318,2.4008336378946318,-1.2004168189473159,2016-11-01,12,True
II/1273/1,1,3,5,2016-03-01,2016-04-01,2,2016-03-01,-1.1503493803760079,-2.3006987607520157,2.3006987607520157,-1.1503493803760079,2016-11-01,8,True
II/1273/1,1,3,6,2019-07-01,2020-10-01,16,2020-01-01,-1.9599639845400545,-27.405872689318453,27.405872689318453,-1.7128670430824033,2021-01-01,12,True
II/1273/1,1,3,7,2022-12-01,2023-02-01,3,2022-12-01,-1.382994127100638,-3.683692887852654,3.683692887852654,-1.2278976292842179,2023-05-01,5,True
II/1273/1,1,3,8,2023-06-01,2023-09-01,4,2023-09-01,-1.9379315108528288,-5.881265049727718,5.881265049727718,-1.4703162624319295,,,False
II/1273/1,1,3,9,2024-01-01,2024-01-01,1,2024-01-01,-1.4395314709384563,-1.4395314709384563,1.4395314709384563,-1.4395314709384563,2024-04-01,3,True
II/1273/1,1,6,1,2005-02-01,2005-02-01,1,2005-02-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,2005-04-01,2,True
II/1273/1,1,6,2,2009-04-01,2009-07-01,4,2009-04-01,-1.4395314709384563,-5.3828650098133455,5.3828650098133455,-1.3457162524533364,2009-08-01,4,True
II/1273/1,1,6,3,2015-10-01,2016-03-01,6,2016-01-01,-1.351702239930661,-6.857841124401215,6.857841124401215,-1.1429735207335359,2016-12-01,11,True
