group,window_months,date,available_wells,total_group_wells,group_mean_SGI
1,6,2006-07-01,5,10,-0.22963320612636737
1,6,2006-08-01,5,10,-0.16868916366928374
1,6,2006-09-01,5,10,-0.13721602908353125
1,6,2006-10-01,4,10,
1,6,2006-11-01,7,10,-0.249545889888605
1,6,2006-12-01,7,10,-0.2397004392089988
1,6,2007-01-01,7,10,-0.01605921992705531
1,6,2007-02-01,7,10,0.03526286037091438
1,6,2007-03-01,7,10,0.037193920042701355
1,6,2007-04-01,8,10,0.3273781614231262
1,6,2007-05-01,8,10,0.4375124032960854
1,6,2007-06-01,8,10,0.614267476153493
1,6,2007-07-01,8,10,0.8741996982131885
1,6,2007-08-01,8,10,0.6845268421508833
1,6,2007-09-01,8,10,0.6990503525091042
1,6,2007-10-01,8,10,0.7906717098843632
1,6,2007-11-01,8,10,0.8242492589437433
1,6,2007-12-01,8,10,0.7322880934699479
1,6,2008-01-01,8,10,0.6560418028391777
1,6,2008-02-01,8,10,0.68044280664682
1,6,2008-03-01,8,10,0.7117934499893587
1,6,2008-04-01,8,10,0.7085246370816469
1,6,2008-05-01,8,10,0.7199638324216391
1,6,2008-06-01,8,10,0.5772591907746545
1,6,2008-07-01,8,10,0.4596017443429761
1,6,2008-08-01,8,10,0.44434004664104765
1,6,2008-09-01,8,10,0.27344712664182325
1,6,2008-10-01,8,10,0.21659159684079687
1,6,2008-11-01,8,10,0.10747559752049449
1,6,2008-12-01,8,10,0.17077696820508848
1,6,2009-01-01,8,10,0.12954338626554252
1,6,2009-02-01,8,10,0.07675044333294082
1,6,2009-03-01,8,10,-0.07208681065970284
1,6,2009-04-01,8,10,-0.27314101766113763
1,6,2009-05-01,8,10,-0.41099341680277734
1,6,2009-06-01,8,10,-0.4446068310536314
1,6,2009-07-01,8,10,-0.27194096596963435
1,6,2009-08-01,8,10,-0.2769509785194808
1,6,2009-09-01,9,10,-0.2541099735860108
1,6,2009-10-01,9,10,-0.16330786371853956
1,6,2009-11-01,9,10,-0.16018014188603125
1,6,2009-12-01,9,10,-0.17746135063682614
1,6,2010-01-01,9,10,-0.13867023481124374
1,6,2010-02-01,9,10,-0.12377691124690703
1,6,2010-03-01,9,10,-0.07487389603667356
1,6,2010-04-01,9,10,0.0014308442998964771
1,6,2010-05-01,9,10,0.05982269128276737
1,6,2010-06-01,9,10,0.25923251983091566
1,6,2010-07-01,9,10,0.35514828782570323
1,6,2010-08-01,9,10,0.6723693291761212
1,6,2010-09-01,9,10,0.9033913616629591
1,6,2010-10-01,9,10,1.0807165263592082
1,6,2010-11-01,9,10,1.1742248848524384
1,6,2010-12-01,9,10,1.3103803370264622
1,6,2011-01-01,9,10,1.5385176598192052
1,6,2011-02-01,9,10,1.5704200158857704
1,6,2011-03-01,9,10,1.66419434860937
1,6,2011-04-01,9,10,1.827219126415617
1,6,2011-05-01,9,10,1.810533852871617
1,6,2011-06-01,9,10,1.8022048730096358
1,6,2011-07-01,9,10,1.8591839680852627
1,6,2011-08-01,9,10,1.8591839680852627
1,6,2011-09-01,9,10,1.6759699940029098
1,6,2011-10-01,9,10,1.5408327599831524
1,6,2011-11-01,9,10,1.2745318878903737
1,6,2011-12-01,9,10,1.055005207719859
1,6,2012-01-01,9,10,0.9222589288708158
1,6,2012-02-01,9,10,0.8630644316860697
1,6,2012-03-01,9,10,0.7096785708543405
1,6,2012-04-01,9,10,0.49558795149150875
1,6,2012-05-01,9,10,0.4614759843312355
1,6,2012-06-01,9,10,0.41107838991784706
1,6,2012-07-01,9,10,0.3471813180033009
1,6,2012-08-01,9,10,0.37145520881038774
1,6,2012-09-01,9,10,0.3307375298307852
1,6,2012-10-01,9,10,0.39165834857156384
1,6,2012-11-01,9,10,0.47841082683260755
1,6,2012-12-01,9,10,0.44695735827936733
1,6,2013-01-01,9,10,0.3810128541984287
1,6,2013-02-01,9,10,0.38136885876800464
1,6,2013-03-01,9,10,0.35708032758773645
1,6,2013-04-01,9,10,0.41741913556321325
1,6,2013-05-01,9,10,0.42041097126833793
1,6,2013-06-01,9,10,0.5043665529800084
1,6,2013-07-01,9,10,0.6666983846865638
1,6,2013-08-01,9,10,0.7673940642560222
1,6,2013-09-01,9,10,0.8195887588639275
1,6,2013-10-01,9,10,0.8116703292053484
1,6,2013-11-01,9,10,0.8661369491805174
1,6,2013-12-01,9,10,0.7257129362268326
1,6,2014-01-01,9,10,-0.09555649243051521
1,6,2014-02-01,9,10,-0.28733117961705396
1,6,2014-03-01,9,10,-0.32564378725280513
1,6,2014-04-01,9,10,-0.3922591783966889
1,6,2014-05-01,9,10,-0.40770372492807216
1,6,2014-06-01,9,10,-0.4250775102312254
1,6,2014-07-01,9,10,-0.4414368579331998
1,6,2014-08-01,10,10,-0.378982019691593
1,6,2014-09-01,10,10,-0.15502338830771653
1,6,2014-10-01,10,10,-0.28256812431812134
1,6,2014-11-01,10,10,-0.347341169168094
1,6,2014-12-01,10,10,-0.3297904001391906
1,6,2015-01-01,10,10,-0.3394220772160176
1,6,2015-02-01,10,10,-0.18996651573463721
1,6,2015-03-01,10,10,0.030299667123775343
1,6,2015-04-01,10,10,-0.058978332144353295
1,6,2015-05-01,10,10,-0.10091488686312129
1,6,2015-06-01,10,10,-0.21424621080264142
1,6,2015-07-01,10,10,-0.33678882972387786
1,6,2015-08-01,10,10,-0.5361990007812558
1,6,2015-09-01,10,10,-0.6304617855169313
1,6,2015-10-01,10,10,-0.6832995064207201
1,6,2015-11-01,10,10,-0.7746680819517449
1,6,2015-12-01,10,10,-0.8482194203078992
1,6,2016-01-01,10,10,-0.878753584711756
1,6,2016-02-01,10,10,-0.9693225486517221
1,6,2016-03-01,10,10,-1.149186759260461
1,6,2016-04-01,10,10,-1.232621286385206
1,6,2016-05-01,10,10,-1.2736882207138187
1,6,2016-06-01,10,10,-1.2661921388380357
1,6,2016-07-01,10,10,-1.1489997341178593
1,6,2016-08-01,10,10,-0.9056569466488881
1,6,2016-09-01,10,10,-0.9439500043025862
1,6,2016-10-01,10,10,-0.806616216584182
1,6,2016-11-01,10,10,-0.7268718219456893
1,6,2016-12-01,10,10,-0.5183743390655946
1,6,2017-01-01,10,10,-0.3001198226252951
1,6,2017-02-01,10,10,-0.3366793688982152
1,6,2017-03-01,10,10,-0.22995378953828655
1,6,2017-04-01,10,10,-0.11974516431982603
1,6,2017-05-01,10,10,-0.15077066654410876
1,6,2017-06-01,10,10,-0.1568472964624036
1,6,2017-07-01,10,10,-0.21358292577847302
1,6,2017-08-01,10,10,-0.0731115308083736
1,6,2017-09-01,10,10,0.15947730965379006
1,6,2017-10-01,10,10,0.32168657173871373
1,6,2017-11-01,10,10,0.5428485173041333
1,6,2017-12-01,10,10,0.9745158334238659
1,6,2018-01-01,10,10,1.1280272314471596
1,6,2018-02-01,10,10,1.1716190018148485
1,6,2018-03-01,10,10,1.2163253479501823
1,6,2018-04-01,10,10,1.2471852891523052
1,6,2018-05-01,10,10,1.2362268763770279
