date,piezometer_id,groundwater_level_m,cluster_id
2022-07-01,II/1274/1,67.72193548387096,1
2022-08-01,II/1274/1,67.67064516129032,1
2022-09-01,II/1274/1,67.63066666666667,1
2022-10-01,II/1274/1,67.60586206896552,1
2022-11-01,II/1274/1,67.5803448275862,1
2022-12-01,II/1274/1,67.55419354838709,1
2023-01-01,II/1274/1,67.54034482758621,1
2023-02-01,II/1274/1,67.53571428571428,1
2023-03-01,II/1274/1,67.56677419354838,1
2023-04-01,II/1274/1,67.60966666666667,1
2023-05-01,II/1274/1,67.62387096774194,1
2023-06-01,II/1274/1,67.567,1
2023-07-01,II/1274/1,67.51516129032258,1
2023-08-01,II/1274/1,67.49,1
2023-09-01,II/1274/1,67.44,1
2023-10-01,II/1274/1,67.41387096774193,1
2023-11-01,II/1274/1,67.42166666666667,1
2023-12-01,II/1274/1,67.44548387096773,1
2024-01-01,II/1274/1,67.52032258064516,1
2024-02-01,II/1274/1,67.60724137931034,1
2024-03-01,II/1274/1,67.72290322580645,1
2024-04-01,II/1274/1,67.82206896551725,1
2009-04-01,II/1274/2,67.9,1
2009-05-01,II/1274/2,68,1
2009-06-01,II/1274/2,67.95,1
2009-07-01,II/1274/2,67.95,1
2009-08-01,II/1274/2,67.9,1
2009-09-01,II/1274/2,67.77,1
2009-10-01,II/1274/2,67.71,1
2009-11-01,II/1274/2,67.68,1
2009-12-01,II/1274/2,67.67,1
2010-01-01,II/1274/2,67.66,1
2010-02-01,II/1274/2,67.67,1
2010-03-01,II/1274/2,67.71,1
2010-04-01,II/1274/2,67.81,1
2010-05-01,II/1274/2,67.84,1
2010-06-01,II/1274/2,67.9,1
2010-07-01,II/1274/2,67.87,1
2010-08-01,II/1274/2,67.89,1
2010-09-01,II/1274/2,67.92,1
2010-10-01,II/1274/2,67.96,1
2010-11-01,II/1274/2,68.01,1
2010-12-01,II/1274/2,68.07,1
2011-01-01,II/1274/2,68.19,1
2011-02-01,II/1274/2,68.4,1
2011-03-01,II/1274/2,68.52,1
2011-04-01,II/1274/2,68.56,1
2011-05-01,II/1274/2,68.58,1
2011-06-01,II/1274/2,68.45,1
2011-07-01,II/1274/2,68.41,1
2011-08-01,II/1274/2,68.37,1
2011-09-01,II/1274/2,68.36,1
2011-10-01,II/1274/2,68.36,1
2011-11-01,II/1274/2,68.29,1
2011-12-01,II/1274/2,68.26,1
2012-01-01,II/1274/2,68.19,1
2012-02-01,II/1274/2,68.13,1
2012-03-01,II/1274/2,68.1,1
2012-04-01,II/1274/2,68.07,1
2012-05-01,II/1274/2,68.03,1
2012-06-01,II/1274/2,68.01,1
2012-07-01,II/1274/2,67.99,1
2012-08-01,II/1274/2,67.99,1
2012-09-01,II/1274/2,67.93,1
2012-10-01,II/1274/2,67.9,1
2012-11-01,II/1274/2,67.88,1
2012-12-01,II/1274/2,67.86,1
2013-01-01,II/1274/2,67.81,1
2013-02-01,II/1274/2,67.82,1
2013-03-01,II/1274/2,67.9,1
2013-04-01,II/1274/2,67.98,1
2013-05-01,II/1274/2,68.02,1
2013-06-01,II/1274/2,68.12,1
2013-07-01,II/1274/2,68.15,1
2013-08-01,II/1274/2,68.07,1
2013-09-01,II/1274/2,67.99,1
2013-10-01,II/1274/2,67.97,1
2013-11-01,II/1274/2,67.93,1
2013-12-01,II/1274/2,67.93,1
2014-01-01,II/1274/2,67.91,1
2014-02-01,II/1274/2,67.92,1
2014-03-01,II/1274/2,67.92,1
2014-04-01,II/1274/2,67.92,1
2014-05-01,II/1274/2,68.02,1
2014-06-01,II/1274/2,67.96,1
2014-07-01,II/1274/2,67.91,1
2014-08-01,II/1274/2,67.86,1
2014-09-01,II/1274/2,67.82,1
2014-10-01,II/1274/2,67.83935483870968,1
2014-11-01,II/1274/2,67.81066666666666,1
2014-12-01,II/1274/2,67.79096774193549,1
2015-01-01,II/1274/2,67.80548387096775,1
2015-02-01,II/1274/2,67.80392857142857,1
2015-03-01,II/1274/2,67.81129032258065,1
2015-04-01,II/1274/2,67.81933333333333,1
2015-05-01,II/1274/2,67.8064705882353,1
2015-06-01,II/1274/2,67.75033333333333,1
2015-07-01,II/1274/2,67.70870967741935,1
2015-08-01,II/1274/2,67.66032258064516,1
2015-09-01,II/1274/2,67.614,1
2015-10-01,II/1274/2,67.57935483870968,1
2015-11-01,II/1274/2,67.553,1
2015-12-01,II/1274/2,67.52774193548387,1
2016-01-01,II/1274/2,67.50137931034483,1
2016-02-01,II/1274/2,67.48310344827586,1
2016-03-01,II/1274/2,67.46709677419355,1
2016-04-01,II/1274/2,67.45233333333333,1
2016-05-01,II/1274/2,67.43806451612903,1
2016-06-01,II/1274/2,67.41933333333333,1
2016-07-01,II/1274/2,67.40677419354839,1
2016-08-01,II/1274/2,67.40451612903226,1
2016-09-01,II/1274/2,67.38133333333333,1
2016-10-01,II/1274/2,67.37032258064517,1
2016-11-01,II/1274/2,67.38566666666667,1
2016-12-01,II/1274/2,67.42354838709677,1
2017-01-01,II/1274/2,67.48096774193549,1
2017-02-01,II/1274/2,67.53,1
2017-03-01,II/1274/2,67.57870967741935,1
2017-04-01,II/1274/2,67.62266666666666,1
2017-05-01,II/1274/2,67.6703448275862,1
2017-06-01,II/1274/2,67.69166666666666,1
2017-07-01,II/1274/2,67.71645161290323,1
2017-08-01,II/1274/2,67.86483870967741,1
2017-09-01,II/1274/2,67.99066666666667,1
2017-10-01,II/1274/2,68.0858064516129,1
2017-11-01,II/1274/2,68.15620689655172,1
2017-12-01,II/1274/2,68.2141935483871,1
2018-01-01,II/1274/2,68.26838709677419,1
2018-02-01,II/1274/2,68.32357142857143,1
2018-03-01,II/1274/2,68.3658064516129,1
2018-04-01,II/1274/2,68.41266666666667,1
2018-05-01,II/1274/2,68.39064516129032,1
2018-06-01,II/1274/2,68.3252,1
2018-07-01,II/1274/2,68.27444444444444,1
2018-08-01,II/1274/2,68.21709677419355,1
2018-09-01,II/1274/2,68.151,1
2018-10-01,II/1274/2,68.0958064516129,1
2018-11-01,II/1274/2,68.05333333333333,1
2018-12-01,II/1274/2,68.02096774193548,1
2019-01-01,II/1274/2,68.00166666666667,1
2019-02-01,II/1274/2,67.97571428571429,1
2019-03-01,II/1274/2,67.97666666666666,1
2019-04-01,II/1274/2,67.945,1
2019-05-01,II/1274/2,67.91645161290323,1
2019-06-01,II/1274/2,67.87966666666667,1
2019-07-01,II/1274/2,67.82516129032258,1
2019-08-01,II/1274/2,67.76677419354839,1
2019-09-01,II/1274/2,67.71266666666666,1
2019-10-01,II/1274/2,67.6741935483871,1
2019-11-01,II/1274/2,67.642,1
2019-12-01,II/1274/2,67.61322580645161,1
2020-01-01,II/1274/2,67.58645161290323,1
2020-02-01,II/1274/2,67.57571428571428,1
2020-03-01,II/1274/2,67.57129032258065,1
2020-04-01,II/1274/2,67.56166666666667,1
2020-05-01,II/1274/2,67.54161290322581,1
2020-06-01,II/1274/2,67.53266666666667,1
2020-07-01,II/1274/2,67.57870967741935,1
2020-08-01,II/1274/2,67.57225806451613,1
2020-09-01,II/1274/2,67.564,1
2020-10-01,II/1274/2,67.58354838709677,1
2020-11-01,II/1274/2,67.61966666666666,1
2020-12-01,II/1274/2,67.64258064516129,1
2021-01-01,II/1274/2,67.66967741935484,1
2021-02-01,II/1274/2,67.70785714285714,1
2021-03-01,II/1274/2,67.7775,1
2021-04-01,II/1274/2,67.85866666666666,1
2021-05-01,II/1274/2,67.905,1
2005-07-01,II/1276/1,72.93,1
2005-08-01,II/1276/1,72.86,1
2005-09-01,II/1276/1,72.82,1
2005-10-01,II/1276/1,72.79,1
2005-11-01,II/1276/1,72.82,1
2005-12-01,II/1276/1,72.83,1
2006-01-01,II/1276/1,72.82,1
2006-02-01,II/1276/1,72.82,1
2006-03-01,II/1276/1,72.8,1
2006-04-01,II/1276/1,72.77,1
2006-05-01,II/1276/1,72.81,1
2006-06-01,II/1276/1,72.86,1
2006-07-01,II/1276/1,72.81,1
2006-08-01,II/1276/1,72.81,1
2006-09-01,II/1276/1,72.76,1
2006-10-01,II/1276/1,72.73,1
2006-11-01,II/1276/1,72.74,1
2006-12-01,II/1276/1,72.74,1
2007-01-01,II/1276/1,72.73,1
2007-02-01,II/1276/1,72.81,1
2007-03-01,II/1276/1,72.81,1
2007-04-01,II/1276/1,72.82,1
2007-05-01,II/1276/1,72.86,1
2007-06-01,II/1276/1,72.83,1
2007-07-01,II/1276/1,72.81,1
2007-08-01,II/1276/1,72.85,1
2007-09-01,II/1276/1,72.94,1
2007-10-01,II/1276/1,72.94,1
2007-11-01,II/1276/1,72.97,1
2007-12-01,II/1276/1,72.91,1
2008-01-01,II/1276/1,72.91,1
2008-02-01,II/1276/1,72.98,1
2008-03-01,II/1276/1,73,1
2008-04-01,II/1276/1,73.04,1
2008-05-01,II/1276/1,73.06,1
2008-06-01,II/1276/1,72.99,1
2008-07-01,II/1276/1,72.92,1
2008-08-01,II/1276/1,72.88,1
2008-09-01,II/1276/1,72.86,1
2008-10-01,II/1276/1,72.85,1
2008-11-01,II/1276/1,72.85,1
2008-12-01,II/1276/1,72.85,1
2009-01-01,II/1276/1,72.84,1
2009-02-01,II/1276/1,72.82,1
2009-03-01,II/1276/1,72.83,1
2009-04-01,II/1276/1,72.87,1
2009-05-01,II/1276/1,72.85,1
2009-06-01,II/1276/1,72.82,1
2009-07-01,II/1276/1,72.83,1
2009-08-01,II/1276/1,72.81,1
2009-09-01,II/1276/1,72.75,1
2009-10-01,II/1276/1,72.72,1
2009-11-01,II/1276/1,72.71,1
2009-12-01,II/1276/1,72.71,1
2010-01-01,II/1276/1,72.71,1
2010-02-01,II/1276/1,72.7,1
2010-03-01,II/1276/1,72.74,1
2010-04-01,II/1276/1,72.82,1
2010-05-01,II/1276/1,72.87,1
2010-06-01,II/1276/1,72.88,1
2010-07-01,II/1276/1,72.82,1
2010-08-01,II/1276/1,72.88,1
2010-09-01,II/1276/1,72.96,1
2010-10-01,II/1276/1,72.95,1
2010-11-01,II/1276/1,72.95,1
2010-12-01,II/1276/1,73.07,1
2011-01-01,II/1276/1,73.19,1
2011-02-01,II/1276/1,73.31,1
2011-03-01,II/1276/1,73.35,1
2011-04-01,II/1276/1,73.37,1
2011-05-01,II/1276/1,73.36,1
2011-06-01,II/1276/1,73.3,1
2011-07-01,II/1276/1,73.27,1
2011-08-01,II/1276/1,73.24,1
2011-09-01,II/1276/1,73.2,1
2011-10-01,II/1276/1,73.15,1
2011-11-01,II/1276/1,73.13,1
2011-12-01,II/1276/1,73.11,1
2012-01-01,II/1276/1,73.12,1
2012-02-01,II/1276/1,73.11,1
2012-03-01,II/1276/1,73.12,1
2012-04-01,II/1276/1,73.11,1
2012-05-01,II/1276/1,73.08,1
2012-06-01,II/1276/1,73.05,1
2012-07-01,II/1276/1,73.09,1
2012-08-01,II/1276/1,73.07,1
2012-09-01,II/1276/1,73.01,1
2012-10-01,II/1276/1,72.97,1
2012-11-01,II/1276/1,72.94,1
2012-12-01,II/1276/1,72.93,1
2013-01-01,II/1276/1,72.92,1
2013-02-01,II/1276/1,72.98,1
2013-03-01,II/1276/1,73.02,1
2013-04-01,II/1276/1,73.04,1
2013-05-01,II/1276/1,73.07,1
2013-06-01,II/1276/1,73.07,1
2013-07-01,II/1276/1,73.07,1
2013-08-01,II/1276/1,73.03,1
2013-09-01,II/1276/1,72.98,1
2013-10-01,II/1276/1,72.97,1
2013-11-01,II/1276/1,72.96,1
2013-12-01,II/1276/1,72.96,1
2014-01-01,II/1276/1,4.940000000000012,1
2014-02-01,II/1276/1,4.950000000000003,1
2014-03-01,II/1276/1,4.950000000000003,1
2014-04-01,II/1276/1,4.910000000000011,1
2014-05-01,II/1276/1,4.920000000000002,1
2014-06-01,II/1276/1,4.960000000000008,1
2014-07-01,II/1276/1,5.010000000000005,1
2014-08-01,II/1276/1,5.060000000000002,1
2014-09-01,II/1276/1,5.090000000000003,1
2014-10-01,II/1276/1,72.78193548387097,1
2014-11-01,II/1276/1,72.766,1
2014-12-01,II/1276/1,72.754,1
2015-01-01,II/1276/1,72.78774193548388,1
2015-02-01,II/1276/1,72.79392857142858,1
2015-03-01,II/1276/1,72.78129032258065,1
2015-04-01,II/1276/1,72.76566666666668,1
2015-05-01,II/1276/1,72.74677419354839,1
2015-06-01,II/1276/1,72.71333333333334,1
2015-07-01,II/1276/1,72.67258064516129,1
2015-08-01,II/1276/1,72.63225806451614,1
2015-09-01,II/1276/1,72.59533333333334,1
2015-10-01,II/1276/1,72.57225806451613,1
2015-11-01,II/1276/1,72.55733333333333,1
2015-12-01,II/1276/1,72.54387096774194,1
2016-01-01,II/1276/1,72.53,1
2016-02-01,II/1276/1,72.53,1
2016-03-01,II/1276/1,72.53935483870968,1
2016-04-01,II/1276/1,72.52766666666668,1
2016-05-01,II/1276/1,72.51451612903226,1
2016-06-01,II/1276/1,72.49933333333334,1
2016-07-01,II/1276/1,72.53806451612904,1
2016-08-01,II/1276/1,72.5867741935484,1
2016-09-01,II/1276/1,72.52766666666668,1
2016-10-01,II/1276/1,72.49000000000001,1
2016-11-01,II/1276/1,72.497,1
2016-12-01,II/1276/1,72.5183870967742,1
2017-01-01,II/1276/1,72.5583870967742,1
2017-02-01,II/1276/1,72.56,1
2017-03-01,II/1276/1,72.57387096774194,1
