date,imgw_Zalesie,imgw_Trzemeszno,imgw_Pakość,imgw_Jaksice,imgw_Gębice
2014-01-01,36.2,54.4,40.1,41.8,52.8
2014-02-01,10.9,5.3,7.5,13.9,5.4
2014-03-01,60.3,62.9,49.1,51.7,37.9
2014-04-01,39.8,34.8,35.5,31.4,33.7
2014-05-01,55.8,57.6,54.5,50.1,52.2
2014-06-01,35.9,24.1,33.5,31.2,30.7
2014-07-01,54.4,80.5,44.0,32.3,60.9
2014-08-01,61.9,90.7,70.3,75.1,52.4
2014-09-01,25.4,38.3,41.0,40.0,37.7
2014-10-01,26.4,22.7,17.9,11.0,17.8
2014-11-01,20.5,19.7,22.0,23.7,19.1
2014-12-01,64.3,38.8,53.0,64.1,35.1
2015-01-01,28.6,37.1,25.4,30.7,27.7
2015-02-01,12.1,21.7,9.8,9.5,16.6
2015-03-01,35.6,46.1,27.7,33.6,34.1
2015-04-01,19.8,30.1,16.9,18.1,24.9
2015-05-01,18.3,23.1,20.3,21.9,23.2
2015-06-01,55.9,61.6,41.8,36.7,49.6
2015-07-01,85.5,133.1,84.5,86.6,88.7
2015-08-01,10.0,18.7,13.1,3.4,14.3
2015-09-01,52.6,39.8,30.1,35.8,32.3
2015-10-01,20.8,26.2,27.0,29.2,25.4
2015-11-01,39.5,48.4,35.1,35.6,48.0
2015-12-01,29.1,25.8,16.3,20.9,19.6
2016-01-01,27.4,30.5,24.9,28.4,28.7
2016-02-01,32.8,44.0,26.6,35.0,35.0
2016-03-01,23.6,29.1,15.3,14.4,15.7
2016-04-01,30.7,20.5,21.3,22.9,20.7
2016-05-01,66.1,56.9,49.7,59.0,31.7
2016-06-01,145.2,53.4,57.6,68.6,75.2
2016-07-01,176.3,170.6,150.0,128.5,165.1
2016-08-01,42.9,35.3,25.7,21.6,46.4
2016-09-01,4.8,1.1,2.3,0.6,0.9
2016-10-01,111.1,131.9,113.9,125.8,126.9
2016-11-01,38.0,40.7,29.5,33.6,32.3
2016-12-01,54.4,50.8,42.0,48.7,43.8
2017-01-01,19.5,21.6,11.4,13.2,18.7
2017-02-01,25.0,23.8,22.9,30.7,26.0
2017-03-01,31.4,32.4,19.0,28.7,30.7
2017-04-01,28.3,39.9,32.9,40.8,33.1
2017-05-01,56.9,55.5,54.5,97.7,67.5
2017-06-01,90.8,100.7,82.7,63.1,74.9
2017-07-01,112.3,122.2,85.7,71.5,110.1
2017-08-01,154.7,101.4,60.9,68.7,74.8
2017-09-01,36.8,84.8,84.4,86.6,78.7
2017-10-01,89.4,100.5,69.5,89.0,70.8
2017-11-01,26.9,49.8,32.3,32.0,35.8
2017-12-01,39.8,43.2,26.5,34.1,35.0
2018-01-01,59.7,44.3,31.9,36.5,40.1
2018-02-01,2.2,4.3,1.4,2.9,3.7
2018-03-01,32.1,31.5,32.7,38.7,34.1
2018-04-01,60.5,33.8,20.3,22.0,23.2
2018-05-01,4.4,26.3,11.8,21.7,31.8
2018-06-01,37.4,32.6,46.7,48.3,25.5
2018-07-01,114.8,105.9,114.2,109.2,106.8
2018-08-01,27.8,16.6,26.3,27.8,17.2
2018-09-01,42.0,40.8,26.9,24.8,36.1
2018-10-01,31.1,36.1,23.4,30.1,31.5
2018-11-01,10.7,19.7,13.3,,16.7
2018-12-01,59.6,63.4,46.3,,51.7
2019-01-01,22.9,35.4,30.0,,30.5
2019-02-01,19.7,22.8,27.7,,26.1
2019-03-01,24.3,33.9,28.8,,37.3
2019-04-01,7.5,8.6,9.3,,9.0
2019-05-01,83.2,73.4,75.7,,83.1
2019-06-01,29.0,25.0,18.4,,28.1
2019-07-01,20.4,26.4,25.8,,21.2
2019-08-01,20.1,51.9,44.9,,38.3
2019-09-01,64.4,62.1,66.8,,50.7
2019-10-01,36.8,26.0,20.4,,23.7
2019-11-01,60.0,41.8,45.2,,38.9
2019-12-01,20.0,20.6,16.2,,23.8
2020-01-01,40.5,40.8,35.7,,32.8
2020-02-01,51.5,65.5,37.8,,53.0
2020-03-01,22.5,27.0,19.3,,24.1
2020-04-01,4.4,3.3,1.8,,2.6
2020-05-01,52.7,44.6,41.1,,37.0
2020-06-01,149.9,144.2,126.2,,101.7
2020-07-01,65.1,57.9,71.8,,49.8
2020-08-01,107.1,96.8,78.0,,92.8
2020-09-01,68.7,54.3,71.8,,62.8
2020-10-01,56.4,71.5,53.3,,69.2
2020-11-01,11.3,8.8,9.0,,8.9
2020-12-01,30.3,34.2,23.2,,26.7
2021-01-01,56.7,55.8,49.5,,40.8
2021-02-01,42.9,43.8,45.0,,37.9
2021-03-01,19.9,16.3,10.7,,12.5
2021-04-01,37.1,40.3,34.7,,38.3
2021-05-01,80.6,98.2,97.1,,98.8
2021-06-01,31.6,29.4,14.6,,18.9
2021-07-01,44.5,105.2,63.0,,82.2
2021-08-01,57.4,101.4,104.7,,89.7
2021-09-01,14.0,9.3,15.9,,14.7
2021-10-01,34.4,15.2,19.2,,17.4
2021-11-01,33.3,29.5,28.3,,27.9
2021-12-01,35.4,24.3,22.4,,17.8
2022-01-01,47.9,49.1,38.8,,38.5
2022-02-01,56.5,49.3,41.1,,35.3
2022-03-01,1.4,0.0,0.1,,0.0
2022-04-01,28.8,46.0,27.7,,37.3
2022-05-01,40.8,42.0,38.9,,41.0
2022-06-01,36.0,69.4,98.3,,69.4
2022-07-01,50.9,63.3,66.7,,54.0
2022-08-01,44.7,80.9,14.1,,29.2
2022-09-01,48.3,40.2,61.3,,50.7
2022-10-01,37.2,35.7,34.3,,35.1
2022-11-01,22.3,17.0,17.2,,16.3
2022-12-01,32.0,38.7,35.0,,34.1
2023-01-01,51.9,49.2,38.1,,40.0
2023-02-01,39.9,45.8,34.0,,35.2
2023-03-01,59.6,52.3,39.8,,42.7
2023-04-01,24.9,31.6,37.7,,31.1
2023-05-01,16.4,17.6,18.0,,14.1
2023-06-01,66.6,44.8,54.9,,24.3
2023-07-01,57.9,40.3,36.1,,33.4
2023-08-01,108.6,100.7,57.3,,82.1
2023-09-01,11.2,9.8,6.4,,7.0
2023-10-01,58.4,47.1,44.8,,40.9
2023-11-01,88.5,97.4,75.1,,76.2
2023-12-01,67.8,53.7,45.1,,56.0
2024-01-01,51.9,47.3,45.0,,47.5
2024-02-01,76.8,63.6,62.1,,56.7
2024-03-01,27.5,19.2,24.2,,16.6
2024-04-01,45.9,37.0,45.0,,40.8
