feature_id,lake_name,x_coord_2180,y_coord_2180
16,Jez. W─ůsoskie,414959.3195,564933.9396
16,Jez. W─ůsoskie,414958.5146,564934.9396
16,Jez. W─ůsoskie,414955.2231,564941.2169
16,Jez. W─ůsoskie,414952.8377,564948.8216
16,Jez. W─ůsoskie,414947.2045,564980.3128
16,Jez. W─ůsoskie,414938.1219,565065.7583
16,Jez. W─ůsoskie,414930.1362,565156.3262
16,Jez. W─ůsoskie,414928.1566,565188.2857
16,Jez. W─ůsoskie,414927.6852,565214.215
16,Jez. W─ůsoskie,414928.5789,565226.1788
16,Jez. W─ůsoskie,414931.1386,565238.9695
16,Jez. W─ůsoskie,414936.6647,565257.0891
16,Jez. W─ůsoskie,414954.2744,565308.1185
16,Jez. W─ůsoskie,414959.1757,565330.6838
16,Jez. W─ůsoskie,414961.8083,565339.2067
16,Jez. W─ůsoskie,414971.8965,565358.6746
16,Jez. W─ůsoskie,414989.2625,565384.4834
16,Jez. W─ůsoskie,414997.7133,565394.4108
16,Jez. W─ůsoskie,415009.0213,565404.1291
16,Jez. W─ůsoskie,415030.4498,565420.5488
16,Jez. W─ůsoskie,415052.7737,565435.8194
16,Jez. W─ůsoskie,415118.7213,565475.367
16,Jez. W─ůsoskie,415205.0231,565523.7456
16,Jez. W─ůsoskie,415248.619,565546.0008
16,Jez. W─ůsoskie,415327.9381,565581.7408
16,Jez. W─ůsoskie,415365.9865,565596.7975
16,Jez. W─ůsoskie,415402.2017,565608.1106
16,Jez. W─ůsoskie,415438.262,565616.5775
16,Jez. W─ůsoskie,415486.4667,565624.9179
16,Jez. W─ůsoskie,415682.3249,565652.799
16,Jez. W─ůsoskie,415720.9749,565657.783
16,Jez. W─ůsoskie,415743.8705,565659.5166
16,Jez. W─ůsoskie,415774.843,565660.1568
16,Jez. W─ůsoskie,415839.7679,565659.7771
16,Jez. W─ůsoskie,415853.5806,565662.0561
16,Jez. W─ůsoskie,415876.9794,565667.3595
16,Jez. W─ůsoskie,415894.7896,565669.6848
16,Jez. W─ůsoskie,415916.695,565671.2862
16,Jez. W─ůsoskie,415932.6654,565672.4538
16,Jez. W─ůsoskie,415963.7005,565671.9585
16,Jez. W─ůsoskie,415975.6454,565672.3305
16,Jez. W─ůsoskie,415988.4407,565674.1512
16,Jez. W─ůsoskie,416019.6638,565681.2898
16,Jez. W─ůsoskie,416028.6467,565681.8566
16,Jez. W─ůsoskie,416041.6598,565681.4763
16,Jez. W─ůsoskie,416051.3937,565679.1475
16,Jez. W─ůsoskie,416058.9969,565676.5056
16,Jez. W─ůsoskie,416065.1783,565673.3432
18,Jez. ┼╗─Ödowskie,414929.0297,564531.3877
18,Jez. ┼╗─Ödowskie,414924.4815,564513.8934
18,Jez. ┼╗─Ödowskie,414920.8578,564505.4667
18,Jez. ┼╗─Ödowskie,414916.387,564498.8408
18,Jez. ┼╗─Ödowskie,414909.09,564492.0199
18,Jez. ┼╗─Ödowskie,414900.4074,564486.6591
18,Jez. ┼╗─Ödowskie,414888.1273,564483.0774
18,Jez. ┼╗─Ödowskie,414867.4793,564480.6068
18,Jez. ┼╗─Ödowskie,414859.1692,564479.6125
18,Jez. ┼╗─Ödowskie,414847.5082,564477.0567
18,Jez. ┼╗─Ödowskie,414789.001,564451.0555
18,Jez. ┼╗─Ödowskie,414765.8739,564441.7034
18,Jez. ┼╗─Ödowskie,414744.1461,564433.8723
18,Jez. ┼╗─Ödowskie,414728.7472,564429.4425
18,Jez. ┼╗─Ödowskie,414717.0182,564427.2118
18,Jez. ┼╗─Ödowskie,414691.2873,564424.2262
18,Jez. ┼╗─Ödowskie,414648.3613,564421.044
18,Jez. ┼╗─Ödowskie,414594.4206,564419.0899
18,Jez. ┼╗─Ödowskie,414584.4093,564419.916
18,Jez. ┼╗─Ödowskie,414572.6961,564422.8495
18,Jez. ┼╗─Ödowskie,414559.9159,564428.6426
18,Jez. ┼╗─Ödowskie,414549.7326,564436.6468
18,Jez. ┼╗─Ödowskie,414540.3994,564448.4767
18,Jez. ┼╗─Ödowskie,414532.2256,564463.4013
18,Jez. ┼╗─Ödowskie,414527.542,564475.6054
18,Jez. ┼╗─Ödowskie,414525.132,564486.2384
18,Jez. ┼╗─Ödowskie,414524.9819,564502.3092
18,Jez. ┼╗─Ödowskie,414527.6876,564519.2323
18,Jez. ┼╗─Ödowskie,414527.1475,564523.0415
18,Jez. ┼╗─Ödowskie,414525.6597,564525.9108
18,Jez. ┼╗─Ödowskie,414522.6819,564528.8484
18,Jez. ┼╗─Ödowskie,414517.2582,564530.6362
18,Jez. ┼╗─Ödowskie,414509.0563,564531.3111
18,Jez. ┼╗─Ödowskie,414498.9571,564530.6554
18,Jez. ┼╗─Ödowskie,414482.9132,564528.0222
18,Jez. ┼╗─Ödowskie,414476.5022,564525.6774
18,Jez. ┼╗─Ödowskie,414472.4144,564523.1055
18,Jez. ┼╗─Ödowskie,414467.3763,564518.1427
18,Jez. ┼╗─Ödowskie,414457.8491,564506.2582
18,Jez. ┼╗─Ödowskie,414447.7552,564491.3087
18,Jez. ┼╗─Ödowskie,414441.2409,564475.7177
18,Jez. ┼╗─Ödowskie,414430.4696,564438.0397
18,Jez. ┼╗─Ödowskie,414429.9451,564426.2811
18,Jez. ┼╗─Ödowskie,414433.2997,564410.4852
18,Jez. ┼╗─Ödowskie,414443.3466,564378.019
18,Jez. ┼╗─Ödowskie,414460.0036,564339.4921
18,Jez. ┼╗─Ödowskie,414472.515,564315.6131
18,Jez. ┼╗─Ödowskie,414497.3797,564276.8232
18,Jez. ┼╗─Ödowskie,414505.8985,564258.9163
18,Jez. ┼╗─Ödowskie,414511.3432,564240.6528
18,Jez. ┼╗─Ödowskie,414516.3729,564216.1133
18,Jez. ┼╗─Ödowskie,414517.8844,564199.1117
18,Jez. ┼╗─Ödowskie,414517.1094,564184.2218
18,Jez. ┼╗─Ödowskie,414512.5455,564163.6557
18,Jez. ┼╗─Ödowskie,414502.8813,564136.3075
18,Jez. ┼╗─Ödowskie,414490.9656,564112.1243
18,Jez. ┼╗─Ödowskie,414477.2533,564089.9968
18,Jez. ┼╗─Ödowskie,414462.0519,564070.2377
18,Jez. ┼╗─Ödowskie,414444.2057,564049.9458
18,Jez. ┼╗─Ödowskie,414374.7504,563979.4891
18,Jez. ┼╗─Ödowskie,414322.8686,563929.671
18,Jez. ┼╗─Ödowskie,414294.3443,563904.6364
18,Jez. ┼╗─Ödowskie,414275.3076,563889.998
18,Jez. ┼╗─Ödowskie,414255.7165,563876.1938
18,Jez. ┼╗─Ödowskie,414202.0302,563843.2467
18,Jez. ┼╗─Ödowskie,414183.022,563830.4254
18,Jez. ┼╗─Ödowskie,414170.0613,563819.4704
18,Jez. ┼╗─Ödowskie,414118.0015,563771.1204
18,Jez. ┼╗─Ödowskie,414107.2663,563762.256
18,Jez. ┼╗─Ödowskie,414098.8646,563756.801
18,Jez. ┼╗─Ödowskie,414088.9179,563751.9532
18,Jez. ┼╗─Ödowskie,414073.8941,563746.372
18,Jez. ┼╗─Ödowskie,414063.2405,563743.2915
18,Jez. ┼╗─Ödowskie,414053.4069,563741.6049
18,Jez. ┼╗─Ödowskie,414030.5648,563740.9626
18,Jez. ┼╗─Ödowskie,413979.5198,563742.8324
18,Jez. ┼╗─Ödowskie,413958.551,563742.7129
18,Jez. ┼╗─Ödowskie,413920.8427,563738.185
18,Jez. ┼╗─Ödowskie,413882.703,563735.4184
18,Jez. ┼╗─Ödowskie,413866.9997,563733.4486
18,Jez. ┼╗─Ödowskie,413860.5841,563731.5005
18,Jez. ┼╗─Ödowskie,413854.0424,563724.8476
18,Jez. ┼╗─Ödowskie,413846.4485,563718.2372
18,Jez. ┼╗─Ödowskie,413844.7059,563718.2594
18,Jez. ┼╗─Ödowskie,413842.0203,563720.2547
18,Jez. ┼╗─Ödowskie,413838.2876,563727.3293
18,Jez. ┼╗─Ödowskie,413837.6377,563735.4032
18,Jez. ┼╗─Ödowskie,413836.6844,563738.0935
18,Jez. ┼╗─Ödowskie,413819.0086,563758.5777
18,Jez. ┼╗─Ödowskie,413811.5509,563770.6235
18,Jez. ┼╗─Ödowskie,413808.0524,563778.8897
18,Jez. ┼╗─Ödowskie,413806.766,563790.6445
18,Jez. ┼╗─Ödowskie,413808.2509,563803.7766
18,Jez. ┼╗─Ödowskie,413812.709,563819.085
