gwb_code,x_coord_2180,y_coord_2180
PLGW600043,434916.19,578481.68
PLGW600043,434961.17,578484.85
PLGW600043,434994.51,578490.67
PLGW600043,435042.6807,578493.3098
PLGW600043,435069.73,578485.17
PLGW600043,435104.26,578478.02
PLGW600043,435140.77,578468.5
PLGW600043,435190.78,578458.58
PLGW600043,435230.62,578450.64
PLGW600043,435252.45,578444.35
PLGW600043,435279.24,578442.7
PLGW600043,435290.81,578444.02
PLGW600043,435309.66,578444.02
PLGW600043,435326.86,578441.37
PLGW600043,435347.64,578431.17
PLGW600043,435347.649,578431.1663
PLGW600043,435369.26,578422.26
PLGW600043,435389.9,578409.56
PLGW600043,435401.54,578398.45
PLGW600043,435410.99,578382.78
PLGW600043,435412.12,578373.05
PLGW600043,435410.6571,578369.1497
PLGW600043,435405.77,578356.12
PLGW600043,435399.95,578332.31
PLGW600043,435394.13,578316.96
PLGW600043,435395.19,578300.03
PLGW600043,435405.64,578280.18
PLGW600043,435405.24,578258.75
PLGW600043,435396.12,578240.89
PLGW600043,435393.34,578230.57
PLGW600043,435393.34,578219.46
PLGW600043,435400.08,578207.55
PLGW600043,435416.36,578192.08
PLGW600043,435438.58,578178.98
PLGW600043,435487.79,578159.14
PLGW600043,435499.3,578153.58
PLGW600043,435513.99,578141.28
PLGW600043,435523.91,578129.77
PLGW600043,435534.23,578119.05
PLGW600043,435543.75,578108.34
PLGW600043,435559.89,578091.8
PLGW600043,435583.31,578074.73
PLGW600043,435597.6,578065.21
PLGW600043,435617.44,578058.06
PLGW600043,435637.446,578052.4111
PLGW600043,435637.45,578052.41
PLGW600043,435650.38,578047.75
PLGW600043,435661.1,578040.2
PLGW600043,435677.37,578027.5
PLGW600043,435699.2,578008.45
PLGW600043,435719.6,577979.75
PLGW600043,435732.17,577969.16
PLGW600043,435734.5005,577963.247
PLGW600043,435740.77,577947.34
PLGW600043,435752.68,577923.52
PLGW600043,435755.32,577901.03
PLGW600043,435751.35,577887.8
PLGW600043,435733.49,577870.61
PLGW600043,435723.6819,577857.7425
PLGW600043,435723.68,577857.74
PLGW600043,435723.6695,577857.7379
PLGW600043,435699.1,577852.75
PLGW600043,435679.91,577850.76
PLGW600043,435658.75,577850.76
PLGW600043,435636.92,577850.76
PLGW600043,435624.35,577846.13
PLGW600043,435605.17,577826.95
PLGW600043,435586.65,577817.69
PLGW600043,435570.77,577813.06
PLGW600043,435553.31,577809.42
PLGW600043,435506.35,577793.55
PLGW600043,435477.24,577773.7
PLGW600043,435458.06,577757.83
